STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
6,1,400100,1,1789,37.861461,-122.234285
6,1,400100,2,1249,37.855979,-122.224707
6,1,400200,1,1022,37.849892,-122.248571
6,1,400200,2,979,37.846618,-122.250574
6,1,400300,1,1123,37.843653,-122.248773
6,1,400300,2,1528,37.837583,-122.254351
6,1,400300,3,1390,37.840115,-122.260132
6,1,400300,4,1463,37.839956,-122.254289
6,1,400400,1,1558,37.850103,-122.254856
6,1,400400,2,1353,37.845087,-122.258924
6,1,400400,3,1201,37.849983,-122.258619
6,1,400500,1,2018,37.849537,-122.26286
6,1,400500,2,905,37.846627,-122.267118
6,1,400500,3,721,37.850059,-122.26736
6,1,400600,1,1076,37.843277,-122.264541
6,1,400600,2,712,37.840553,-122.265329
6,1,400700,1,1254,37.845308,-122.272812
6,1,400700,2,1269,37.84266,-122.272711
6,1,400700,3,810,37.840378,-122.27205
6,1,400700,4,1175,37.83825,-122.271499
6,1,400800,1,1471,37.848123,-122.284989
6,1,400800,2,1154,37.845322,-122.282395
6,1,400800,3,1292,37.842704,-122.282548
6,1,400900,1,1330,37.840421,-122.279713
6,1,400900,2,1184,37.838201,-122.280818
6,1,401000,1,987,37.835827,-122.270566
6,1,401000,2,841,37.83422,-122.271476
6,1,401000,3,1156,37.832422,-122.27183
6,1,401000,4,765,37.829003,-122.269631
6,1,401000,5,1108,37.826765,-122.273271
6,1,401000,6,1240,37.829962,-122.274564
6,1,401100,1,829,37.8346,-122.261423
6,1,401100,2,1302,37.829103,-122.262497
6,1,401100,3,1028,37.825219,-122.264045
6,1,401100,4,1807,37.83125,-122.265044
6,1,401200,1,1222,37.834203,-122.256667
6,1,401200,2,946,37.829494,-122.257876
6,1,401200,3,821,37.826499,-122.259693
6,1,401300,1,2336,37.820452,-122.265745
6,1,401300,2,2046,37.814896,-122.270173
6,1,401300,3,1505,37.814523,-122.266859
6,1,401400,1,1457,37.823744,-122.272637
6,1,401400,2,2185,37.821355,-122.273595
6,1,401400,3,1713,37.816003,-122.272952
6,1,401500,1,1208,37.82512,-122.28008
6,1,401500,2,710,37.822636,-122.280347
6,1,401500,3,743,37.820784,-122.280389
6,1,401600,1,1410,37.817627,-122.279681
6,1,401600,2,1561,37.815303,-122.279222
6,1,401700,1,1678,37.811052,-122.301221
6,1,401700,2,1783,37.814855,-122.294994
6,1,401700,3,2660,37.823356,-122.288682
6,1,401800,1,1076,37.810774,-122.297041
6,1,401800,2,905,37.808198,-122.29961
6,1,402200,1,1456,37.809955,-122.293369
6,1,402200,2,620,37.806386,-122.295419
6,1,402200,3,1174,37.804223,-122.29728
6,1,402400,1,1056,37.81304,-122.281844
6,1,402400,2,1403,37.810173,-122.282521
6,1,402500,1,1273,37.805868,-122.285291
6,1,402500,2,737,37.803738,-122.285147
6,1,402600,1,1226,37.804663,-122.279643
6,1,402700,1,673,37.809107,-122.275669
6,1,402700,2,1154,37.810975,-122.278248
6,1,402801,1,1031,37.809289,-122.271273
6,1,402801,2,986,37.811034,-122.271387
6,1,402801,3,924,37.80966,-122.271449
6,1,402802,1,462,37.806651,-122.273464
6,1,402802,2,991,37.807662,-122.274361
6,1,402900,1,1148,37.805081,-122.267973
6,1,402900,2,769,37.804167,-122.266111
6,1,403000,1,1141,37.799639,-122.273083
6,1,403000,2,1138,37.801107,-122.268367
6,1,403000,3,728,37.801432,-122.271045
6,1,403100,1,812,37.804028,-122.275829
6,1,403100,2,878,37.800974,-122.275973
6,1,403301,1,1043,37.799141,-122.265923
6,1,403301,2,956,37.796986,-122.268073
6,1,403302,1,1041,37.794725,-122.268708
6,1,403302,2,1324,37.793536,-122.266781
