USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
OK,40001,1101788,Adair County,1486277939,8874158,573.855,3.426,35.898043,-94.651026
OK,40003,1101789,Alfalfa County,2244392665,38546676,866.565,14.883,36.729703,-98.323445
OK,40005,1101790,Atoka County,2526393964,37287777,975.446,14.397,34.392469,-96.036558
OK,40007,1101791,Beaver County,4700407527,7347161,1814.838,2.837,36.748334,-100.483056
OK,40009,1101792,Beckham County,2335338428,5514684,901.679,2.129,35.270601,-99.690057
OK,40011,1101793,Blaine County,2404772608,26854992,928.488,10.369,35.877782,-98.428934
OK,40013,1101794,Bryan County,2341975631,102083435,904.242,39.415,33.964004,-96.264137
OK,40015,1101795,Caddo County,3309366436,32099077,1277.754,12.394,35.16792,-98.381045
OK,40017,1101796,Canadian County,2322131002,23131671,896.58,8.931,35.543354,-97.979889
OK,40019,1101797,Carter County,2129492350,29991371,822.202,11.58,34.251848,-97.287927
OK,40021,1101798,Cherokee County,1939904010,69990998,749.001,27.024,35.904367,-94.996796
OK,40023,1101799,Choctaw County,1995090099,75667486,770.309,29.215,34.027645,-95.554208
OK,40025,1101800,Cimarron County,4752131813,15923999,1834.808,6.148,36.74839,-102.517698
OK,40027,1101801,Cleveland County,1395453713,49520727,538.788,19.12,35.206376,-97.323088
OK,40029,1101802,Coal County,1338427185,12083335,516.77,4.665,34.582861,-96.288039
OK,40031,1101803,Comanche County,2769653950,37538945,1069.369,14.494,34.66263,-98.476612
OK,40033,1101804,Cotton County,1638512879,23996512,632.633,9.265,34.290676,-98.373438
OK,40035,1101805,Craig County,1971621943,3684477,761.248,1.423,36.76389,-95.201553
OK,40037,1101806,Creek County,2460107102,50925023,949.853,19.662,35.907732,-96.379793
OK,40039,1101807,Custer County,2560925953,34326632,988.779,13.254,35.645601,-98.997386
OK,40041,1101808,Delaware County,1911485747,140309019,738.029,54.174,36.393375,-94.808217
OK,40043,1101809,Dewey County,2589042126,22668868,999.635,8.752,35.97796,-99.014385
OK,40045,1101810,Ellis County,3189510402,952235,1231.477,0.368,36.224258,-99.750139
OK,40047,1101811,Garfield County,2741521308,4075930,1058.507,1.574,36.378054,-97.78845
OK,40049,1101812,Garvin County,2077453378,30109357,802.109,11.625,34.70935,-97.312723
OK,40051,1101813,Grady County,2850386644,11374380,1100.54,4.392,35.021058,-97.88689
OK,40053,1101814,Grant County,2591904428,7042653,1000.74,2.719,36.788254,-97.788151
OK,40055,1101815,Greer County,1655732413,11156357,639.282,4.307,34.933853,-99.552968
OK,40057,1101816,Harmon County,1391491968,3800411,537.258,1.467,34.745971,-99.844194
OK,40059,1101817,Harper County,2689919308,5259447,1038.584,2.031,36.80035,-99.662805
OK,40061,1101818,Haskell County,1493706599,126248912,576.723,48.745,35.232295,-95.109576
OK,40063,1101819,Hughes County,2083606775,26430453,804.485,10.205,35.052934,-96.251183
OK,40065,1101820,Jackson County,2078860509,4114418,802.653,1.589,34.594006,-99.412235
OK,40067,1101821,Jefferson County,1965685986,39417590,758.956,15.219,34.105082,-97.83889
OK,40069,1101822,Johnston County,1665488649,39648868,643.049,15.309,34.313455,-96.654254
OK,40071,1101823,Kay County,2381740395,65583671,919.595,25.322,36.814885,-97.143862
OK,40073,1101824,Kingfisher County,2326005907,20612229,898.076,7.958,35.949436,-97.934557
OK,40075,1101825,Kiowa County,2629039881,40296743,1015.078,15.559,34.921489,-98.981617
OK,40077,1101826,Latimer County,1870210358,18276407,722.092,7.057,34.875137,-95.272262
OK,40079,1101827,Le Flore County,4115999004,50035433,1589.196,19.319,34.897356,-94.695074
OK,40081,1101828,Lincoln County,2466630673,34722233,952.371,13.406,35.703117,-96.881392
OK,40083,1101829,Logan County,1926542719,12929098,743.842,4.992,35.914151,-97.450764
OK,40085,1101830,Love County,1331024899,47506501,513.912,18.342,33.957804,-97.245093
OK,40087,1101834,McClain County,1478150205,24716284,570.717,9.543,35.016436,-97.449803
OK,40089,1101835,McCurtain County,4793716602,133984721,1850.864,51.732,34.117073,-94.766086
