ID,MNAME,CNTYNAME,MCRNUM,MLOCADDR,MLOCCITY,CNTRL,OBLEV,FCOUNTY,LAT,LONG
6730001,Rolling Hills Hospital,"Pontotoc, OK",374016,1000 Rolling Hills Lane,Ada,33,0,40123,34.7846,-96.6274
6730005,Southwestern Regional Medical Center,"Tulsa, OK",370190,10109 East 79th Street,Tulsa,33,0,40143,36.0515,-95.8633
6730009,J. D. McCarty Center for Children With Developmental Disabilities,"Cleveland, OK",373300,2002 East Robinson,Norman,12,0,40027,35.232,-97.4074
6730010,Mercy Hospital Ada,"Pontotoc, OK",370020,430 North Monte Vista,Ada,21,1,40123,34.7782,-96.6333
6730012,Curahealth Hospital Oklahoma City,"Oklahoma, OK",372004,1407 North Robinson Avenue,Oklahoma City,33,0,40109,35.4828,-97.5165
6730013,Post Acute Medical Specialty Hospital of Tulsa,"Tulsa, OK",372018,3219 South 79th East Avenue,Tulsa,33,0,40143,36.1147,-95.8905
6730014,Northwest Surgical Hospital,"Oklahoma, OK",370192,9204 North May Avenue,Oklahoma City,33,0,40109,35.5641,-97.5666
6730015,Chickasaw Nation Medical Center,"Pontotoc, OK",370180,1921 Stonecipher Boulevard,Ada,47,1,40123,34.7311,-96.6456
6730017,Carl Albert Community Mental Health Center,"Pittsburg, OK",374006,1101 East Monroe Avenue,McAlester,12,0,40121,34.9346,-95.7518
6730019,Select Specialty Hospital-Tulsa Midtown,"Tulsa, OK",372007,"1125 South Trenton Avenue, 3rd Floor",Tulsa,33,0,40143,36.1473,-95.9698
6730020,Jackson County Memorial Hospital,"Jackson, OK",370022,1200 East Pecan Street,Altus,16,1,40065,34.637,-99.3171
6730024,OU Medical Center,"Oklahoma, OK",370093,1200 Everett Drive,Oklahoma City,23,3,40109,35.4811,-97.4963
6730029,Hillcrest Hospital - South,"Tulsa, OK",370202,8801 South 101st East Avenue,Tulsa,33,2,40143,36.0355,-95.8637
6730030,Share Medical Center,"Woods, OK",371341,800 Share Drive,Alva,16,0,40151,36.7874,-98.671
6730031,Inspire Specialty Hospital,"Oklahoma, OK",372012,8210 National Avenue,Midwest City,33,0,40109,35.4663,-97.3869
6730035,Lakeside Women's Hospital,"Oklahoma, OK",370199,11200 North Portland Avenue,Oklahoma City,33,2,40109,35.584,-97.5837
